/* Cardinality of the grid */
33
/* Cardinality of pick-up locations */
15
/* Cardinality of delivery locations */
15
/* Cardinality of depots */
3
/* Total number of trucks */
3	
/* Capacity of trucks */
200
/* Maximum working hours */
8
/* Revenue of selling an order [e/kg] */
50
/* Depots */
1	40	50	0	0	8
2	27	62	0	0	8
3	73	17	0	0	8
/* Pick up locations */					
4	25	85	20	3	7
5	20	85	20	1	5
6	15	75	20	4	8
7	15	80	10	1	5
8	10	35	20	4	8
9	10	40	30	4	8
10	8	40	40	4	8
11	8	45	20	2	6
12	5	45	10	2	6
13	42	10	40	4	8
14	40	15	40	2	6
15	38	5	30	4	8
16	35	5	20	1	5
17	95	35	20	4	8
18	92	30	10	2	6
/* Delivery locations */					
19	22	75	-20	4	8
20	22	85	-20	2	6
21	20	80	-20	5	8
22	18	75	-10	2	6
23	5	35	-20	5	8
24	2	40	-30	5	8
25	0	40	-40	5	8
26	0	45	-20	3	7
27	44	5	-10	3	7
28	42	15	-40	5	8
29	40	5	-40	3	7
30	38	15	-30	5	8
31	95	30	-20	2	6
32	87	30	-20	5	8
33	85	35	-10	3	7
